OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,SUMLEV,STATE,COUNTY,TRACT,BLKGRP,GEOID10_1,TOTAL_POP,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULTI_RACE,HISPANIC,NON_HISPAN,HSE_UNITS,OCCUP,VACANT,PST_CD,CITY,GlobalID,Shape.STArea(),Shape.STLength(),TRACTNAME10
167,36,29,2900,1,360290029001,Block Group 1,G5030,S,147859,0,42.9073233,-78.8132379,150,36,29,2900,1,360290029001,558,85,447,3,4,0,4,15,24,534,270,186,84,,,{9C1A952A-98FB-4E55-B10C-D4B880B4E119},1.6298273854E-05,0.016539546971277,29
96,36,29,16400,2,360290164002,Block Group 2,G5030,S,476961,0,42.8715885,-78.8548018,150,36,29,16400,2,360290164002,847,564,196,10,4,0,32,41,139,708,561,365,196,,,{46DBA956-09DE-41D9-814C-6E53524EADE5},5.2544670521E-05,0.044318779473936,164
21,36,29,5400,4,360290054004,Block Group 4,G5030,S,437314,0,42.9426394,-78.8576209,150,36,29,5400,4,360290054004,834,730,54,4,24,0,5,17,26,808,421,402,19,,,{7260E242-D6BC-4116-8C44-79E3D9D82B4A},4.823151201E-05,0.043739770103819,54
249,36,29,3301,2,360290033012,Block Group 2,G5030,S,218256,0,42.919449,-78.8457194,150,36,29,3301,2,360290033012,798,16,768,4,0,0,3,7,8,790,427,334,93,,,{68BAB562-7875-4F4D-9B60-16785CE40277},2.4062812233E-05,0.019775636493136,33.01
185,36,29,16700,2,360290167002,Block Group 2,G5030,S,133425,0,42.8734981,-78.8063784,150,36,29,16700,2,360290167002,805,729,44,0,6,0,10,16,50,755,400,358,42,,,{A4A93C5D-AE34-4266-8EBB-3BD0A8EF7D23},1.4699270402E-05,0.016297307247399,167
236,36,29,4200,1,360290042001,Block Group 1,G5030,S,136251,0,42.9385459,-78.8162474,150,36,29,4200,1,360290042001,667,12,633,3,6,0,7,6,20,647,308,266,42,,,{C6629B63-821A-4794-9112-D45EFBC93EFE},1.5026107738E-05,0.015917422392712,42
205,36,29,1500,1,360290015001,Block Group 1,G5030,S,411611,0,42.8826796,-78.8473924,150,36,29,1500,1,360290015001,573,76,468,1,10,0,3,15,18,555,347,259,88,,,{139887CD-2DEE-474C-B7CF-4D4497D1BCA6},4.535347118E-05,0.034106167363695,15
157,36,29,16600,3,360290166003,Block Group 3,G5030,S,237546,0,42.8990301,-78.8444377,150,36,29,16600,3,360290166003,541,10,518,1,1,0,5,6,10,531,324,237,87,,,{CAB3783F-7375-4489-AC69-CA8E3B375415},2.618094831E-05,0.024954681089907,166
184,36,29,16700,1,360290167001,Block Group 1,G5030,S,219069,0,42.8743675,-78.8028408,150,36,29,16700,1,360290167001,766,714,27,8,1,0,3,13,15,751,415,374,41,,,{93C65740-1EC8-4AFD-B2E1-0F357A38BE16},2.4135245273E-05,0.027501470766247,167
190,36,29,16900,4,360290169004,Block Group 4,G5030,S,186949,0,42.9217362,-78.864477,150,36,29,16900,4,360290169004,1009,458,462,18,6,0,27,38,106,903,334,272,62,,,{4B376370-EC47-4C8C-A255-6DAF7ECCBBE7},2.0611887174E-05,0.029413200926495,169
125,36,29,500,2,360290005002,Block Group 2,G5030,S,293830,0,42.8666622,-78.863145,150,36,29,500,2,360290005002,847,764,19,8,1,0,40,15,105,742,472,394,78,,,{6AAEA90D-199F-4F70-9A81-BB7317E4C992},3.2367345999E-05,0.025627361985864,5
170,36,29,3000,1,360290030001,Block Group 1,G5030,S,175776,0,42.9082415,-78.8021779,150,36,29,3000,1,360290030001,840,159,629,5,1,0,13,33,43,797,415,341,74,,,{7F63F53D-DE4D-40AE-BF51-F2651A195EF8},1.8828252293E-05,0.019615505833143,30
253,36,29,4001,3,360290040013,Block Group 3,G5030,S,317645,0,42.9360858,-78.8362606,150,36,29,4001,3,360290040013,921,22,866,2,1,0,1,29,11,910,529,367,162,,,{75CA0D40-20CE-41A9-B41A-3D5F2CAF97CF},3.502965276E-05,0.029090417801757,40.01
106,36,29,5802,3,360290058023,Block Group 3,G5030,S,119141,0,42.9556979,-78.902964,150,36,29,5802,3,360290058023,1025,626,154,25,48,0,121,51,331,694,403,352,51,,,{3E51E06C-246F-4672-9C82-8817099A5E12},1.3142874558E-05,0.020171710762311,58.02
58,36,29,4001,5,360290040015,Block Group 5,G5030,S,177102,0,42.9385228,-78.8406949,150,36,29,4001,5,360290040015,646,252,264,6,67,0,12,45,39,607,308,252,56,,,{3F070CFE-55E1-4110-B56C-15B9EA377BE0},1.953147914E-05,0.022297755154087,40.01
135,36,29,800,1,360290008001,Block Group 1,G5030,S,197522,0,42.8452676,-78.8196216,150,36,29,800,1,360290008001,926,866,23,9,7,0,12,9,73,853,417,379,38,,,{657EDDF1-DBE8-470C-9C49-752333314263},2.1751039087E-05,0.0225860300115,8
203,36,29,1000,1,360290010001,Block Group 1,G5030,S,230280,0,42.8501374,-78.8019264,150,36,29,1000,1,360290010001,1323,1179,62,8,18,0,23,33,91,1232,644,558,86,,,{CDFE5B62-8493-4970-BE08-CDFE668D3683},2.3459619224E-05,0.025141866709254,10
241,36,29,3100,3,360290031003,Block Group 3,G5030,S,355917,0,42.9007141,-78.8601283,150,36,29,3100,3,360290031003,661,28,619,1,7,0,2,4,13,648,351,285,66,,,{60F43C14-5AA1-471E-B5F8-BA9B5C055D69},3.9227961112E-05,0.027608626769479,31
40,36,29,6100,4,360290061004,Block Group 4,G5030,S,135545,0,42.9189372,-78.8916778,150,36,29,6100,4,360290061004,1052,353,394,11,145,0,87,62,237,815,439,349,90,,,{829A7167-3F65-4C1E-976A-D2B63EFE0844},1.4943771185E-05,0.017588845852637,61
235,36,29,4200,5,360290042005,Block Group 5,G5030,S,191525,0,42.937622,-78.8206365,150,36,29,4200,5,360290042005,926,27,883,3,2,0,0,11,13,913,423,366,57,,,{660F2688-2B82-4554-90AC-BCA48EE50B70},2.1121784804E-05,0.01871205011282,42
134,36,29,700,5,360290007005,Block Group 5,G5030,S,214578,0,42.8405694,-78.8109456,150,36,29,700,5,360290007005,660,632,4,4,7,0,2,11,26,634,310,286,24,,,{2882B447-9491-43EB-8765-F033DAAC93B3},2.3627498905E-05,0.023080294446114,7
234,36,29,4200,3,360290042003,Block Group 3,G5030,S,186792,0,42.9309605,-78.816038,150,36,29,4200,3,360290042003,635,39,589,1,1,0,4,1,9,626,296,254,42,,,{014C0588-33E2-44C3-B115-DAE8A33FC677},2.0597655413E-05,0.018166596738869,42
41,36,29,6100,3,360290061003,Block Group 3,G5030,S,168674,0,42.9144158,-78.8924361,150,36,29,6100,3,360290061003,803,348,181,17,102,1,129,25,311,492,383,271,112,,,{B1B7FB75-05E2-41D8-9EE8-C1BCAE7E022C},1.8594717686E-05,0.022029525119341,61
153,36,29,2400,4,360290024004,Block Group 4,G5030,S,164050,0,42.8945709,-78.8068,150,36,29,2400,4,360290024004,771,691,52,5,3,0,5,15,48,723,366,319,47,,,{107DCC82-C116-4175-8088-01CAE3CC3216},1.8079184752E-05,0.019667342454614,24
77,36,29,6902,2,360290069022,Block Group 2,G5030,S,145197,0,42.9004435,-78.8877126,150,36,29,6902,2,360290069022,808,493,127,16,10,4,92,66,247,561,471,398,73,,,{C35354E5-725C-48CB-9642-2E7237F4FFF9},1.6003219539E-05,0.02153486034706,69.02
196,36,29,3400,1,360290034001,Block Group 1,G5030,S,153495,0,42.9184805,-78.8254631,150,36,29,3400,1,360290034001,735,26,690,2,0,0,5,12,16,719,374,296,78,,,{4BE6B071-0233-4C20-84FA-D93EF6D06A75},1.6922599739E-05,0.020218985610925,34
165,36,29,2900,2,360290029002,Block Group 2,G5030,S,186289,0,42.9071122,-78.8168642,150,36,29,2900,2,360290029002,418,69,336,3,0,0,7,3,20,398,268,179,89,,,{745A6A63-180C-4F5C-9CA8-27049DFF9F62},2.0534148931E-05,0.018590251611265,29
130,36,29,700,1,360290007001,Block Group 1,G5030,S,161792,0,42.8403984,-78.8052815,150,36,29,700,1,360290007001,611,597,0,2,3,0,3,6,14,597,251,240,11,,,{A8B47CC6-B12C-472C-AB42-09024837620F},1.780982202E-05,0.019568002433792,7
